Treasure Class	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	Term
Summoner (H)	5	800	800	800	1024	19	"gld,mul=2048"	9	Act 2 (H) Equip C	15	Act 3 (H) Junk	5	Act 2 (H) Good	3	Act 3 (H) Magic A	4											0
Council	4	800	800	800	1024	19	"gld,mul=1280"	9	Act 4 Equip A	15	Act 4 Junk	5	Act 4 Good	3	Act 4 Magic A	4											0
Council (N)	4	800	800	800	1024	19	"gld,mul=1536"	9	Act 4 (N) Equip A	15	Act 4 (N) Junk	5	Act 4 (N) Good	3	Act 4 (N) Magic A	4											0
Council (H)	4	800	800	800	1024	19	"gld,mul=2048"	9	Act 4 (H) Equip A	15	Act 4 (H) Junk	5	Act 4 (H) Good	3	Act 4 (H) Magic A	4											0
Griswold	-3					0	Act 1 Uitem C	1	Act 1 Melee B	2																	0
Griswold (N)	-3					0	Act 1 (H) Uitem C	1	Act 1 (N) Melee B	2																	0
Griswold (H)	-3					0	Act 1 (H) Uitem C	1	Act 1 (H) Melee B	2																	0
Cow	1					200	gld	19	Act 5 Equip A	19	Act 5 Junk	19	Act 5 Good	3													0
Cow (N)	1					200	gld	19	Act 5 (N) Equip A	19	Act 5 (N) Junk	19	Act 5 (N) Good	3													0
Cow (H)	1					200	gld	19	Act 5 (H) Equip B	19	Act 1 (H) Junk	19	Act 5 (H) Good	3													0
Trapped Soul	1					200	gld	19	Act 4 Equip A	8	Act 4 Junk	33															0
Trapped Soul (N)	1					200	gld	19	Act 4 (N) Equip A	8	Act 4 (N) Junk	33															0
Trapped Soul (H)	1					200	gld	19	Act 4 (H) Equip A	8	Act 4 (H) Junk	33															0
Haphesto	5	800	800	800	1024	19	"gld,mul=1280"	14	Act 5 Equip A	19	Act 5 Junk	5	Act 5 Good	3													0
Haphesto (N)	5	800	800	800	1024	19	"gld,mul=1536"	14	Act 5 (N) Equip A	19	Act 5 (N) Junk	5	Act 5 (N) Good	3													0
Haphesto (H)	5	800	800	800	1024	19	"gld,mul=2048"	14	Act 5 (H) Equip A	19	Act 5 (H) Junk	5	Act 5 (H) Good	3													0
Nihlathak	5	800	800	800	1024	19	"gld,mul=1280"	14	Act 5 Equip B	19	Act 5 Junk	5	Act 5 Good	3													0
Nihlathak (N)	5	800	800	800	1024	19	"gld,mul=1536"	14	Act 5 (N) Equip B	19	Act 5 (N) Junk	5	Act 5 (N) Good	3													0
Nihlathak (H)	5	800	800	800	1024	19	"gld,mul=2048"	14	Act 5 (H) Equip B	19	Act 5 (H) Junk	5	Act 5 (H) Good	3													0
Baal	7	983	983	983	1024	15	"gld,mul=1280"	5	Act 1 (N) Equip A	52	Act 1 (N) Junk	5	Act 1 (N) Good	3													0
Baal (N)	7	983	983	983	1024	15	"gld,mul=1536"	5	Act 1 (H) Equip A	52	Act 1 (H) Junk	5	Act 1 (H) Good	3													0
Baal (H)	7	983	983	983	1024	15	"gld,mul=2048"	5	Act 5 (H) Equip B	52	Act 5 (H) Junk	5	Act 5 (H) Good	3													0
Blood Raven	5	800	800	800	1024	19	"gld,mul=1280"	14	Act 1 Equip B	19	Act 1 Junk	5	Act 1 Good	3													0
Blood Raven (N)	5	800	800	800	1024	19	"gld,mul=1536"	14	Act 1 (N) Equip B	19	Act 1 (N) Junk	5	Act 1 (N) Good	3													0
Blood Raven (H)	5	800	800	800	1024	19	"gld,mul=2048"	14	Act 1 (H) Equip B	19	Act 1 (H) Junk	5	Act 1 (H) Good	3													0
Smith	-3					0	Act 1 Uitem C	1	Act 1 Melee B	2																	
Smith (N)	-3					0	Act 1 (H) Uitem C	1	Act 1 (N) Melee B	2																	
Smith (H)	-3					0	Act 1 (H) Uitem C	1	Act 1 (H) Melee B	2																	
